01001,0.072208683,1,0.541565123,36,29,13,31.5,
01003,0.14491957,6,0.589672732,132,221,10.4,26.2,
01005,0.185963477,1,0.706661212,22,15,18.4,37.6,
01007,0.222162979,1,0.666488936,5,5,14.8,32.3,
01009,0.103951905,1,0.467783572,21,15,14.1,31.9,
01011,0.185804534,0,0.2787068,3,1,19.6,37.8,
01013,0.147812377,1,1.034686638,17,10,17.7,36.8,
01015,0.232927292,3,0.638393319,103,77,14.9,33.5,
01017,0.205423172,1,0.67496185,26,16,16.4,35.5,
01019,0.192034413,1,0.691323885,15,11,13.3,31.5,
01021,0.136577815,1,0.773940953,20,18,13.3,34.8,
01023,0.22517451,0,0.900698041,6,5,18.1,36.5,
01025,0.20044097,2,0.521146522,26,15,16.3,36,
01027,0.22136954,0,0.516528926,4,6,14.6,32.2,
01029,0.132625995,0,0.663129973,8,2,12.6,28.8,
01031,0.098214461,1,0.53035809,34,28,15.9,32.7,
01033,0.183341584,1,0.78836881,52,38,18.7,34.7,
01035,0.157853197,0,1.104972376,7,4,17.4,32.1,
01037,0.091861106,0,0.734888848,1,0,17.3,33.2,
01039,0.158252888,1,0.923141847,24,18,14.7,33.8,
01041,0.214638334,0,0.50082278,5,6,16.5,33.6,
01043,0.184526812,1,0.602787585,53,48,14.4,30.1,
01045,0.161668418,1,0.646673672,34,30,14.1,34.4,
01047,0.191795929,1,0.743209225,19,15,19,39.9,
01049,0.197002744,1,0.703581228,43,31,13.4,31.7,
01051,0.123491856,2,0.691554392,45,38,13.4,29,
01053,0.106008004,1,0.768558026,27,20,17.8,34.4,
01055,0.125566256,2,0.656808106,79,57,16.8,30.8,
01057,0.296313856,1,0.474102169,9,9,15.1,32.3,
01059,0.253156546,1,0.506313091,18,16,13.9,29.5,
01061,0.374363582,0,0.524109015,10,11,13.9,32,
01063,0.233836081,0,1.403016485,1,2,21,43.7,
01065,0.197576396,0,0.987881981,7,4,16,40.2,
01067,0.17452007,0,0.872600349,10,11,18.7,33.8,
01069,0.15356118,3,0.64303744,97,77,13.7,33.2,
01071,0.208867369,1,0.892433305,29,25,14.9,31.6,
01073,0.163439988,19,0.694619949,642,376,13,31.4,
01075,0.212977424,0,0.638932273,6,10,14.9,30.8,
01077,0.182607201,2,0.537080003,72,70,14.2,29.1,
01079,0.149356274,1,0.567553843,16,17,15.6,32.8,
01081,0.110207125,3,0.492690675,128,109,9.5,30.1,
01083,0.099133136,1,0.616828401,51,39,12.6,29.1,
01085,0.283553875,0,0.56710775,0,2,23.5,40.6,
01087,0.205920206,0,0.720720721,9,2,18.4,40,
01089,0.125606981,12,0.608051978,330,226,11.5,30.6,
01091,0.149179513,1,0.994530085,19,9,20.2,37.6,
01093,0.099104754,2,0.79283803,17,20,18.7,28.6,
01095,0.22190287,3,0.750243036,71,60,12.8,26.5,
01097,0.144535475,9,0.55164373,253,217,15.6,30.3,
01099,0.273385884,1,0.68346471,9,10,17.8,35.4,
01101,0.163580015,6,0.623372489,210,141,13.5,34,
